Date,Open,High,Low,Close,Adj Close,Volume
2018-05-07,30382.0,30382.0,30352.0,30434.0,30434.0,0
2018-05-08,30393.0,30393.0,30326.0,30352.0,30352.0,0
2018-05-09,30439.0,30444.0,30439.0,30326.0,30326.0,0
2018-05-10,30465.0,30465.0,30370.0,30444.0,30444.0,0
2018-05-11,30272.0,30472.0,30272.0,30370.0,30370.0,0
2018-05-14,30371.0,30484.0,30371.0,30373.0,30373.0,0
2018-05-15,30552.0,30552.0,30382.0,30484.0,30484.0,0
2018-05-16,30537.0,30537.0,30235.0,30382.0,30382.0,0
2018-05-17,30330.0,30330.0,30277.0,30235.0,30235.0,0
2018-05-18,30320.0,30320.0,30282.0,30277.0,30277.0,0
2018-05-21,30290.0,30290.0,30073.0,30263.0,30263.0,0
2018-05-22,30028.0,30179.0,30028.0,30073.0,30073.0,0
2018-05-23,30204.0,30204.0,29913.0,30179.0,30179.0,0
2018-05-24,30010.0,30071.0,30010.0,29913.0,29913.0,0
2018-05-25,30018.0,30018.0,29937.0,30071.0,30071.0,0
2018-05-28,29915.0,29959.0,29915.0,29937.0,29937.0,0
2018-05-29,29993.0,29993.0,29806.0,29959.0,29959.0,0
2018-05-30,29844.0,29887.0,29844.0,29806.0,29806.0,0
2018-05-31,29811.0,29935.0,29811.0,29887.0,29887.0,0
2018-06-01,29817.0,29928.0,29817.0,29935.0,29935.0,0
2018-06-04,30079.0,30085.0,30079.0,30079.0,30079.0,0
2018-06-05,29998.0,30050.0,29998.0,29999.0,29999.0,0
2018-06-06,30025.0,30141.0,30025.0,30050.0,30050.0,0
2018-06-07,30113.0,30195.0,30113.0,30141.0,30141.0,0
2018-06-08,30221.0,30221.0,30070.0,30195.0,30195.0,0
2018-06-11,29993.0,30008.0,29993.0,30019.0,30019.0,0
2018-06-12,30078.0,30103.0,30078.0,30052.0,30052.0,0
2018-06-13,30149.0,30149.0,29956.0,30103.0,30103.0,0
2018-06-14,29966.0,30180.0,29966.0,29956.0,29956.0,0
2018-06-15,30466.0,30466.0,29878.0,30180.0,30180.0,0
2018-06-18,29832.0,29832.0,29801.0,29878.0,29878.0,0
2018-06-19,29781.0,29781.0,29650.0,29801.0,29801.0,0
2018-06-20,29558.0,29630.0,29558.0,29650.0,29650.0,0
2018-06-21,29621.0,29753.0,29621.0,29630.0,29630.0,0
2018-06-22,29671.0,29965.0,29671.0,29753.0,29753.0,0
2018-06-25,29858.0,29873.0,29858.0,29965.0,29965.0,0
2018-06-26,29818.0,29899.0,29818.0,29873.0,29873.0,0
2018-06-27,29900.0,29900.0,29840.0,29899.0,29899.0,0
2018-06-28,29825.0,29825.0,29607.0,29840.0,29840.0,0
2018-06-29,29614.0,29701.0,29614.0,29607.0,29607.0,0
2018-07-02,29758.0,29758.0,29755.0,29701.0,29701.0,0
2018-07-03,29721.0,29927.0,29721.0,29755.0,29755.0,0
2018-07-04,29923.0,29975.0,29923.0,29927.0,29927.0,0
2018-07-05,29972.0,30073.0,29972.0,29975.0,29975.0,0
2018-07-06,29996.0,30019.0,29996.0,30073.0,30073.0,0
2018-07-09,30057.69921875,30268.5,30057.69921875,30057.69921875,30057.69921875,0
2018-07-10,30129.69921875,30129.69921875,30052.599609375,30268.5,30268.5,0
2018-07-11,30027.099609375,30076.5,30027.099609375,30052.599609375,30052.599609375,0
2018-07-12,30074.69921875,30077.19921875,29958.0,30069.69921875,30069.69921875,0
2018-07-13,29917.5,29917.5,29810.900390625,29958.0,29958.0,0
2018-07-16,29894.099609375,30166.19921875,29894.099609375,29810.900390625,29810.900390625,0
2018-07-17,30074.30078125,30074.30078125,30054.80078125,30166.19921875,30166.19921875,0
2018-07-18,29921.30078125,29921.30078125,29598.099609375,30054.80078125,30054.80078125,0
2018-07-19,29632.80078125,29632.80078125,29492.30078125,29598.099609375,29598.099609375,0
2018-07-20,29419.0,29608.30078125,29419.0,29492.30078125,29492.30078125,0
2018-07-23,29639.30078125,30074.19921875,29630.30078125,29639.30078125,29639.30078125,0
2018-07-24,30033.599609375,30088.0,30033.599609375,30074.19921875,30074.19921875,0
2018-07-25,30197.19921875,30197.19921875,30082.19921875,30088.0,30088.0,0
2018-07-26,30077.599609375,30094.19921875,30077.599609375,30082.19921875,30082.19921875,0
